Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3466197, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 49, 'record_count': '49/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3034734, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 50, 'record_count': '50/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1855312, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 51, 'record_count': '51/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1992596, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 52, 'record_count': '52/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3034628, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 53, 'record_count': '53/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3748032, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 54, 'record_count': '54/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3740239, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 55, 'record_count': '55/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3774683, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 56, 'record_count': '56/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4378563, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 57, 'record_count': '57/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3695430, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 58, 'record_count': '58/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3482203, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 59, 'record_count': '59/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1743080, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 60, 'record_count': '60/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1994777, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 61, 'record_count': '61/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1847634, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 62, 'record_count': '62/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1930622, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 63, 'record_count': '63/238'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4087911, 'date_of_service': '2023-12-07', 'service': 'CP23HEs'}, 'record_id': 64, 'record_count': '64/238'}
